Timestamp,CPU,Memory,IO
2025-04-14 12:55:01,some avg10=19.41 avg60=12.31 avg300=7.03 total=22466151008,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.27 avg60=0.80 avg300=1.12 total=4194678291
full avg10=0.08 avg60=0.42 avg300=0.71 total=2197829589"
2025-04-14 12:55:02,some avg10=19.41 avg60=12.31 avg300=7.03 total=22466374199,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.27 avg60=0.80 avg300=1.12 total=4194678291
full avg10=0.08 avg60=0.42 avg300=0.71 total=2197829589"
2025-04-14 12:55:03,some avg10=20.24 avg60=12.69 avg300=7.15 total=22466593142,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.22 avg60=0.78 avg300=1.11 total=4194678540
full avg10=0.06 avg60=0.40 avg300=0.70 total=2197829589"
2025-04-14 12:55:04,some avg10=20.24 avg60=12.69 avg300=7.15 total=22466824191,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.22 avg60=0.78 avg300=1.11 total=4194678540
full avg10=0.06 avg60=0.40 avg300=0.70 total=2197829589"
2025-04-14 12:55:05,some avg10=20.56 avg60=13.00 avg300=7.25 total=22467049833,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.18 avg60=0.75 avg300=1.11 total=4194691881
full avg10=0.05 avg60=0.39 avg300=0.70 total=2197833403"
2025-04-14 12:55:06,some avg10=20.56 avg60=13.00 avg300=7.25 total=22467256376,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.18 avg60=0.75 avg300=1.11 total=4194691881
full avg10=0.05 avg60=0.39 avg300=0.70 total=2197833403"
2025-04-14 12:55:07,some avg10=20.64 avg60=13.26 avg300=7.34 total=22467474885,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.14 avg60=0.73 avg300=1.10 total=4194710617
full avg10=0.04 avg60=0.38 avg300=0.69 total=2197839625"
2025-04-14 12:55:08,some avg10=20.64 avg60=13.26 avg300=7.34 total=22467716227,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.14 avg60=0.73 avg300=1.10 total=4194894917
full avg10=0.04 avg60=0.38 avg300=0.69 total=2197869744"
2025-04-14 12:55:09,some avg10=20.88 avg60=13.55 avg300=7.44 total=22467770712,"some avg10=0.00 avg60=0.01 avg300=0.04 total=45244999
full avg10=0.00 avg60=0.00 avg300=0.03 total=31755155","some avg10=1.93 avg60=1.03 avg300=1.16 total=4194899886
full avg10=0.21 avg60=0.40 avg300=0.70 total=2197871901"
2025-04-14 12:55:10,some avg10=20.88 avg60=13.55 avg300=7.44 total=22467861691,"some avg10=0.00 avg60=0.01 avg300=0.04 total=45244999
full avg10=0.00 avg60=0.00 avg300=0.03 total=31755155","some avg10=1.93 avg60=1.03 avg300=1.16 total=4194907070
full avg10=0.21 avg60=0.40 avg300=0.70 total=2197876476"
2025-04-14 12:55:11,some avg10=18.19 avg60=13.30 avg300=7.43 total=22467897957,"some avg10=0.00 avg60=0.01 avg300=0.04 total=45244999
full avg10=0.00 avg60=0.00 avg300=0.03 total=31755155","some avg10=1.58 avg60=1.00 avg300=1.15 total=4194907341
full avg10=0.17 avg60=0.38 avg300=0.69 total=2197876477"
2025-04-14 12:55:12,some avg10=18.19 avg60=13.30 avg300=7.43 total=22467947975,"some avg10=0.00 avg60=0.01 avg300=0.04 total=45244999
full avg10=0.00 avg60=0.00 avg300=0.03 total=31755155","some avg10=1.58 avg60=1.00 avg300=1.15 total=4194917995
full avg10=0.17 avg60=0.38 avg300=0.69 total=2197879024"
2025-04-14 12:55:13,some avg10=15.62 avg60=13.00 avg300=7.41 total=22467972419,"some avg10=0.00 avg60=0.01 avg300=0.04 total=45244999
full avg10=0.00 avg60=0.00 avg300=0.03 total=31755155","some avg10=1.29 avg60=0.96 avg300=1.14 total=4194918276
full avg10=0.14 avg60=0.37 avg300=0.69 total=2197879287"
