Timestamp,CPU,Memory,IO
2025-04-14 12:51:45,some avg10=11.22 avg60=10.34 avg300=3.64 total=22444698778,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.94 avg60=1.86 avg300=1.15 total=4191722312
full avg10=1.15 avg60=1.09 avg300=0.81 total=2196069058"
2025-04-14 12:51:46,some avg10=11.18 avg60=10.36 avg300=3.69 total=22444878025,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.58 avg60=1.80 avg300=1.14 total=4191722312
full avg10=0.94 avg60=1.05 avg300=0.80 total=2196069058"
2025-04-14 12:51:47,some avg10=11.18 avg60=10.36 avg300=3.69 total=22445056344,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.58 avg60=1.80 avg300=1.14 total=4191722539
full avg10=0.94 avg60=1.05 avg300=0.80 total=2196069058"
2025-04-14 12:51:48,some avg10=12.59 avg60=10.64 avg300=3.80 total=22445264458,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.30 avg60=1.74 avg300=1.13 total=4191722539
full avg10=0.77 avg60=1.02 avg300=0.79 total=2196069058"
2025-04-14 12:51:49,some avg10=12.59 avg60=10.64 avg300=3.80 total=22445376580,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.30 avg60=1.74 avg300=1.13 total=4191739182
full avg10=0.77 avg60=1.02 avg300=0.79 total=2196071456"
2025-04-14 12:51:50,some avg10=12.12 avg60=10.62 avg300=3.84 total=22445410056,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.06 avg60=1.68 avg300=1.13 total=4191759320
full avg10=0.63 avg60=0.98 avg300=0.79 total=2196088314"
2025-04-14 12:51:51,some avg10=12.12 avg60=10.62 avg300=3.84 total=22445460327,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.06 avg60=1.68 avg300=1.13 total=4191759554
full avg10=0.63 avg60=0.98 avg300=0.79 total=2196088498"
2025-04-14 12:51:52,some avg10=11.92 avg60=10.64 avg300=3.89 total=22445710731,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.05 avg60=1.66 avg300=1.13 total=4191759554
full avg10=0.51 avg60=0.95 avg300=0.78 total=2196088498"
2025-04-14 12:51:53,some avg10=11.92 avg60=10.64 avg300=3.89 total=22445831679,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=1.05 avg60=1.66 avg300=1.13 total=4191759779
full avg10=0.51 avg60=0.95 avg300=0.78 total=2196088653"
2025-04-14 12:51:54,some avg10=11.75 avg60=10.65 avg300=3.94 total=22445895043,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=0.86 avg60=1.60 avg300=1.12 total=4191759779
full avg10=0.42 avg60=0.92 avg300=0.78 total=2196088653"
2025-04-14 12:51:55,some avg10=11.75 avg60=10.65 avg300=3.94 total=22446115046,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=0.86 avg60=1.60 avg300=1.12 total=4191776084
full avg10=0.42 avg60=0.92 avg300=0.78 total=2196092436"
2025-04-14 12:51:56,some avg10=12.70 avg60=10.86 avg300=4.03 total=22446293016,"some avg10=0.00 avg60=0.05 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.04 avg300=0.05 total=31634889","some avg10=0.70 avg60=1.55 avg300=1.11 total=4191776084
full avg10=0.34 avg60=0.89 avg300=0.77 total=2196092436"
